Bat Or Bowl,Ground,Opposition,Player,Start Date,team,4S,6S,Bat sum,Bb Bf,Bowl Sum,Econ,Inns,Mdns,Mins,Not Out,Overs,Runs,Runs Per Ball,Sr,Wicketball Prob,Wkts
bowl,Bengaluru,v New Zealand,AD Mathews (SL),09-11-2023,SRI LANKA,,,0,24,29,7.25,2,0,,,4,29,1.208333333,,0.083333333,2
bowl,Lucknow,v Australia,KA Maharaj (SA),12-10-2023,SOUTH AFRICA,,,0,60,30,3,2,0,,,10,30,0.5,,0.033333333,2
bowl,Bengaluru,v Sri Lanka,DJ Willey (ENG),26-10-2023,ENGLAND,,,0,30,30,6,2,0,,,5,30,1,,0.066666667,2
bowl,Lucknow,v Netherlands,Noor Ahmad (AFG),03-11-2023,AFGHANISTAN,,,0,54,31,3.44,1,0,,,9,31,0.574074074,,0.037037037,2
bowl,Lucknow,v Sri Lanka,PJ Cummins (AUS),16-10-2023,AUSTRALIA,,,0,42,32,4.57,1,0,,,7,32,0.761904762,,0.047619048,2
bowl,Hyderabad,v Netherlands,Hasan Ali (PAK),06-10-2023,PAKISTAN,,,0,42,33,4.71,2,1,,,7,33,0.785714286,,0.047619048,2
bowl,Lucknow,v India,CR Woakes (ENG),29-10-2023,ENGLAND,,,0,54,33,3.66,1,1,,,9,33,0.611111111,,0.037037037,2
bowl,Dharamsala,v Afghanistan,Shoriful Islam (BAN),07-10-2023,BANGLADESH,,,0,38,34,5.36,1,1,,,6.2,34,0.894736842,,0.052631579,2
bowl,Lucknow,v South Africa,GJ Maxwell (AUS),12-10-2023,AUSTRALIA,,,0,60,34,3.4,1,1,,,10,34,0.566666667,,0.033333333,2
bowl,Ahmedabad,v Pakistan,HH Pandya (IND),14-10-2023,INDIA,,,0,36,34,5.66,1,0,,,6,34,0.944444444,,0.055555556,2
bowl,Dharamsala,v South Africa,RE van der Merwe (NED),17-10-2023,NETHERLAND,,,0,54,34,3.77,2,0,,,9,34,0.62962963,,0.037037037,2
bowl,Chennai,v Australia,JJ Bumrah (IND),08-10-2023,INDIA,,,0,60,35,3.5,1,0,,,10,35,0.583333333,,0.033333333,2
bowl,Ahmedabad,v Pakistan,Kuldeep Yadav (IND),14-10-2023,INDIA,,,0,60,35,3.5,1,0,,,10,35,0.583333333,,0.033333333,2
bowl,Wankhede,v England,M Jansen (SA),21-10-2023,SOUTH AFRICA,,,0,30,35,7,2,0,,,5,35,1.166666667,,0.066666667,2
bowl,Wankhede,v Sri Lanka,Mohammed Shami (IND),02-11-2023,INDIA,,,0,30,18,3.6,2,1,,,5,18,0.6,,0.166666667,5
bowl,Eden Gardens,v South Africa,RA Jadeja (IND),05-11-2023,INDIA,,,0,54,33,3.66,2,1,,,9,33,0.611111111,,0.092592593,5
bowl,Bengaluru,v Australia,Shaheen Shah Afridi (PAK),20-10-2023,PAKISTAN,,,0,60,54,5.4,1,1,,,10,54,0.9,,0.083333333,5
bowl,Dharamsala,v New Zealand,Mohammed Shami (IND),22-10-2023,INDIA,,,0,60,54,5.4,1,0,,,10,54,0.9,,0.083333333,5
bowl,Hyderabad,v Netherlands,MJ Santner (NZ),09-10-2023,NEW ZEALAND,,,0,60,59,5.9,2,0,,,10,59,0.983333333,,0.083333333,5
bowl,Wankhede,v India,D Madushanka (SL),02-11-2023,SRI LANKA,,,0,60,80,8,1,0,,,10,80,1.333333333,,0.083333333,5
bowl,Delhi,v Netherlands,A Zampa (AUS),25-10-2023,AUSTRALIA,,,0,18,8,2.66,2,0,,,3,8,0.444444444,,0.222222222,4
bowl,Lucknow,v England,Mohammed Shami (IND),29-10-2023,INDIA,,,0,42,22,3.14,2,2,,,7,22,0.523809524,,0.095238095,4
bowl,Eden Gardens,v Bangladesh,PA van Meekeren (NED),28-10-2023,NETHERLAND,,,0,44,23,3.13,2,0,,,7.2,23,0.522727273,,0.090909091,4
bowl,Pune,v Sri Lanka,Fazalhaq Farooqi (AFG),30-10-2023,AFGHANISTAN,,,0,60,34,3.4,1,1,,,10,34,0.566666667,,0.066666667,4
bowl,Delhi,v Afghanistan,JJ Bumrah (IND),11-10-2023,INDIA,,,0,60,39,3.9,1,0,,,10,39,0.65,,0.066666667,4
bowl,Dharamsala,v Bangladesh,RJW Topley (ENG),10-10-2023,ENGLAND,,,0,60,43,4.3,2,1,,,10,43,0.716666667,,0.066666667,4
bowl,Ahmedabad,v Afghanistan,G Coetzee (SA),10-11-2023,SOUTH AFRICA,,,0,60,44,4.4,1,1,,,10,44,0.733333333,,0.066666667,4
bowl,Pune,v New Zealand,KA Maharaj (SA),01-11-2023,SOUTH AFRICA,,,0,54,46,5.11,2,0,,,9,46,0.851851852,,0.074074074,4
bowl,Lucknow,v Sri Lanka,A Zampa (AUS),16-10-2023,AUSTRALIA,,,0,48,47,5.87,1,1,,,8,47,0.979166667,,0.083333333,4
bowl,Lucknow,v Netherlands,D Madushanka (SL),21-10-2023,SRI LANKA,,,0,58,49,5.06,1,1,,,9.4,49,0.844827586,,0.068965517,4
bowl,Lucknow,v Netherlands,CAK Rajitha (SL),21-10-2023,SRI LANKA,,,0,54,50,5.55,1,0,,,9,50,0.925925926,,0.074074074,4
bowl,Bengaluru,v Pakistan,A Zampa (AUS),20-10-2023,AUSTRALIA,,,0,60,53,5.3,2,0,,,10,53,0.883333333,,0.066666667,4
bowl,Ahmedabad,v Australia,CR Woakes (ENG),04-11-2023,ENGLAND,,,0,57,54,5.68,1,0,,,9.3,54,0.947368421,,0.070175439,4
bowl,Chennai,v Pakistan,T Shamsi (SA),27-10-2023,SOUTH AFRICA,,,0,60,60,6,1,0,,,10,60,1,,0.066666667,4
bowl,Hyderabad,v Pakistan,BFW de Leede (NED),06-10-2023,NETHERLAND,,,0,54,62,6.88,1,0,,,9,62,1.148148148,,0.074074074,4
bowl,Dharamsala,v England,Mahedi Hasan (BAN),10-10-2023,BANGLADESH,,,0,48,71,8.87,1,0,,,8,71,1.479166667,,0.083333333,4
bowl,Hyderabad,v Sri Lanka,Hasan Ali (PAK),10-10-2023,PAKISTAN,,,0,60,71,7.1,1,0,,,10,71,1.183333333,,0.066666667,4
bowl,Delhi,v Australia,LV van Beek (NED),25-10-2023,NETHERLAND,,,0,60,74,7.4,1,0,,,10,74,1.233333333,,0.066666667,4
bowl,Wankhede,v Sri Lanka,Mohammed Siraj (IND),02-11-2023,INDIA,,,0,42,16,2.28,2,2,,,7,16,0.380952381,,0.071428571,3
bowl,Chennai,v Afghanistan,LH Ferguson (NZ),18-10-2023,NEW ZEALAND,,,0,42,19,2.71,2,1,,,7,19,0.452380952,,0.071428571,3
bowl,Ahmedabad,v England,A Zampa (AUS),04-11-2023,AUSTRALIA,,,0,60,21,2.1,2,0,,,10,21,0.35,,0.05,3
bowl,Eden Gardens,v Bangladesh,Shaheen Shah Afridi (PAK),31-10-2023,PAKISTAN,,,0,54,23,2.55,1,1,,,9,23,0.425925926,,0.055555556,3
bowl,Dharamsala,v Afghanistan,Mehidy Hasan Miraz (BAN),07-10-2023,BANGLADESH,,,0,54,25,2.77,1,3,,,9,25,0.462962963,,0.055555556,3
bowl,Chennai,v Australia,RA Jadeja (IND),08-10-2023,INDIA,,,0,60,28,2.8,1,2,,,10,28,0.466666667,,0.05,3
bowl,Lucknow,v Netherlands,Mohammad Nabi (AFG),03-11-2023,AFGHANISTAN,,,0,57,28,2.94,1,1,,,9.3,28,0.49122807,,0.052631579,3
bowl,Dharamsala,v Afghanistan,Shakib Al Hasan (BAN),07-10-2023,BANGLADESH,,,0,48,30,3.75,1,0,,,8,30,0.625,,0.0625,3
bowl,Eden Gardens,v Bangladesh,Mohammad Wasim (1) (PAK),31-10-2023,PAKISTAN,,,0,49,31,3.79,1,1,,,8.1,31,0.632653061,,0.06122449,3
bowl,Pune,v New Zealand,M Jansen (SA),01-11-2023,SOUTH AFRICA,,,0,48,31,3.87,2,1,,,8,31,0.645833333,,0.0625,3
bowl,Lucknow,v England,JJ Bumrah (IND),29-10-2023,INDIA,,,0,41,32,4.68,2,1,,,6.5,32,0.780487805,,0.073170732,3
bowl,Lucknow,v Australia,K Rabada (SA),12-10-2023,SOUTH AFRICA,,,0,48,33,4.12,2,1,,,8,33,0.6875,,0.0625,3
bowl,Wankhede,v England,G Coetzee (SA),21-10-2023,SOUTH AFRICA,,,0,24,35,8.75,2,0,,,4,35,1.458333333,,0.125,3
bowl,Bengaluru,v England,CBRLS Kumara (SL),26-10-2023,SRI LANKA,,,0,42,35,5,1,0,,,7,35,0.833333333,,0.071428571,3
bowl,Delhi,v England,Rashid Khan (AFG),15-10-2023,AFGHANISTAN,,,0,57,37,3.89,2,1,,,9.3,37,0.649122807,,0.052631579,3
bowl,Dharamsala,v Australia,GD Phillips (NZ),28-10-2023,NEW ZEALAND,,,0,60,37,3.7,1,0,,,10,37,0.616666667,,0.05,3
bowl,Bengaluru,v Sri Lanka,TA Boult (NZ),09-11-2023,NEW ZEALAND,,,0,60,37,3.7,1,3,,,10,37,0.616666667,,0.05,3
bowl,Chennai,v India,JR Hazlewood (AUS),08-10-2023,AUSTRALIA,,,0,54,38,4.22,2,1,,,9,38,0.703703704,,0.055555556,3
bowl,Lucknow,v Australia,D Madushanka (SL),16-10-2023,SRI LANKA,,,0,54,38,4.22,2,2,,,9,38,0.703703704,,0.055555556,3
bowl,Chennai,v Afghanistan,MJ Santner (NZ),18-10-2023,NEW ZEALAND,,,0,46,39,5.08,2,0,,,7.4,39,0.847826087,,0.065217391,3
bowl,Hyderabad,v Netherlands,MJ Henry (NZ),09-10-2023,NEW ZEALAND,,,0,51,40,4.7,2,0,,,8.3,40,0.784313725,,0.058823529,3
bowl,Delhi,v Afghanistan,AU Rashid (ENG),15-10-2023,ENGLAND,,,0,60,42,4.2,1,1,,,10,42,0.7,,0.05,3
bowl,Pune,v Netherlands,MM Ali (ENG),08-11-2023,ENGLAND,,,0,50,42,5.04,2,0,,,8.2,42,0.84,,0.06,3
bowl,Hyderabad,v Netherlands,Haris Rauf (PAK),06-10-2023,PAKISTAN,,,0,54,43,4.77,2,0,,,9,43,0.796296296,,0.055555556,3
bowl,Chennai,v Pakistan,M Jansen (SA),27-10-2023,SOUTH AFRICA,,,0,54,43,4.77,1,1,,,9,43,0.796296296,,0.055555556,3
bowl,Lucknow,v Sri Lanka,A Dutt (NED),21-10-2023,NETHERLAND,,,0,60,44,4.4,2,0,,,10,44,0.733333333,,0.05,3
bowl,Lucknow,v India,AU Rashid (ENG),29-10-2023,ENGLAND,,,0,60,35,3.5,1,0,,,10,35,0.583333333,,0.033333333,2
bowl,Delhi,v Bangladesh,AD Mathews (SL),06-11-2023,SRI LANKA,,,0,43,35,4.88,2,1,,,7.1,35,0.813953488,,0.046511628,2
bowl,Bengaluru,v Sri Lanka,LH Ferguson (NZ),09-11-2023,NEW ZEALAND,,,0,60,35,3.5,1,2,,,10,35,0.583333333,,0.033333333,2
bowl,Ahmedabad,v South Africa,Mohammad Nabi (AFG),10-11-2023,AFGHANISTAN,,,0,60,35,3.5,2,1,,,10,35,0.583333333,,0.033333333,2
bowl,Ahmedabad,v India,Shaheen Shah Afridi (PAK),14-10-2023,PAKISTAN,,,0,36,36,6,2,0,,,6,36,1,,0.055555556,2
bowl,Dharamsala,v South Africa,BFW de Leede (NED),17-10-2023,NETHERLAND,,,0,48,36,4.5,2,0,,,8,36,0.75,,0.041666667,2
bowl,Bengaluru,v England,CAK Rajitha (SL),26-10-2023,SRI LANKA,,,0,42,36,5.14,1,0,,,7,36,0.857142857,,0.047619048,2
bowl,Eden Gardens,v Netherlands,Mustafizur Rahman (BAN),28-10-2023,BANGLADESH,,,0,60,36,3.6,1,1,,,10,36,0.6,,0.033333333,2
bowl,Eden Gardens,v Bangladesh,Haris Rauf (PAK),31-10-2023,PAKISTAN,,,0,48,36,4.5,1,0,,,8,36,0.75,,0.041666667,2
bowl,Ahmedabad,v England,MJ Santner (NZ),05-10-2023,NEW ZEALAND,,,0,60,37,3.7,1,0,,,10,37,0.616666667,,0.033333333,2
bowl,Ahmedabad,v South Africa,Rashid Khan (AFG),10-11-2023,AFGHANISTAN,,,0,60,37,3.7,2,1,,,10,37,0.616666667,,0.033333333,2
bowl,Lucknow,v Australia,T Shamsi (SA),12-10-2023,SOUTH AFRICA,,,0,47,38,4.85,2,0,,,7.5,38,0.808510638,,0.042553191,2
bowl,Ahmedabad,v Pakistan,RA Jadeja (IND),14-10-2023,INDIA,,,0,59,38,3.86,1,0,,,9.5,38,0.644067797,,0.033898305,2
bowl,Pune,v Bangladesh,RA Jadeja (IND),19-10-2023,INDIA,,,0,60,38,3.8,1,0,,,10,38,0.633333333,,0.033333333,2
bowl,Pune,v Sri Lanka,Mujeeb Ur Rahman (AFG),30-10-2023,AFGHANISTAN,,,0,60,38,3.8,1,0,,,10,38,0.633333333,,0.033333333,2
